record_label_low,occurrences,record_label_major
Columbia,26369,Sony Music Entertainment
RCA Records Label,14590,Sony Music Entertainment
Error: Lookup failed (404),11733,Independent
Century Media,10662,Sony Music Entertainment
Epic,10622,Sony Music Entertainment
Capitol Records,10611,Universal Music Group
Nuclear Blast,10560,Independent
Geffen,10279,Universal Music Group
Parlophone UK,10239,Warner Records
Rhino/Warner Records,10238,Warner Records
Warner Records,9947,Warner Records
Columbia/Legacy,9855,Sony Music Entertainment
UMC (Universal Music Catalogue),9243,Universal Music Group
"UMG Recordings, Inc.",8442,Universal Music Group
Rhino Atlantic,7961,Warner Records
Atlantic Records,7935,Warner Records
Sony Music Entertainment,7736,Sony Music Entertainment
Napalm Records,7577,Universal Music Group
Legacy Recordings,7444,Sony Music Entertainment
Metropolis Records,7140,Universal Music Group
Rhino,6630,Warner Records
Relapse Records,6561,Sony Music Entertainment
Metal Blade Records,6108,Warner Records
Warner Music Group - X5 Music Group,6033,Warner Records
Epitaph,5930,Universal Music Group
EMI,5539,Universal Music Group
Virgin Records,5465,Universal Music Group
Polydor Records,5453,Universal Music Group
Universal-Island Records Ltd.,5386,Universal Music Group
Nettwerk Records,5265,Universal Music Group
Roadrunner Records,5233,Warner Records
Sony Music Labels Inc.,5228,Sony Music Entertainment
Sub Pop Records,5154,Warner Records
Universal Music Ltda.,5072,Universal Music Group
Blue Note Records,5058,Universal Music Group
Rhino/Elektra,5031,Warner Records
WM Spain,4946,Warner Records
Reprise,4904,Warner Records
Verve Reissues,4827,Universal Music Group
Island Records,4729,Universal Music Group
Season of Mist,4721,Independent
Walt Disney Records,4695,Universal Music Group
Hollywood Records,4694,Universal Music Group
Domino Recording Co,4686,Independent
Sony Classical,4679,Sony Music Entertainment
Interscope,4674,Universal Music Group
Warp Records,4671,Independent
AFM Records,4641,Sony Music Entertainment
Ariola,4635,Sony Music Entertainment
A&M,4473,Universal Music Group
Geffen*,4439,Universal Music Group
Parlophone (France),4317,Warner Records
Independent,4287,Independent
WM Finland,4238,Warner Records
Mute,4211,Sony Music Entertainment
Out of Line Music,4115,Independent
Nonesuch,4101,Warner Records
eOne Music,4049,Sony Music Entertainment
Ultra Records,4017,Sony Music Entertainment
Sanctuary Records,3953,Sony Music Entertainment
Armada Music Albums,3917,Universal Music Group
Merge Records,3870,Universal Music Group
Matador,3704,Warner Records
Fat Wreck Chords,3703,Sony Music Entertainment
4AD,3688,Warner Records
Cherry Red Records,3642,Warner Records
Universal Records,3495,Universal Music Group
Rise Records,3438,Independent
Universal Music AB,3423,Universal Music Group
Victory Records,3415,Universal Music Group
Cleopatra Records,3391,Sony Music Entertainment
Ninja Tune,3316,Independent
Epic/Legacy,3273,Sony Music Entertainment
Earache Records Ltd,3241,Warner Records
Deutsche Grammophon (DG),3152,Universal Music Group
Jive,3125,Sony Music Entertainment
InsideOutMusic,3102,Sony Music Entertainment
RCA/Legacy,3062,Sony Music Entertainment
ECM Records,3060,Universal Music Group
Polydor,2948,Universal Music Group
Massacre Records,2944,Universal Music Group
WM Sweden,2918,Warner Records
XL Recordings,2916,Universal Music Group
Anti/Epitaph,2855,Independent
Arista,2785,Sony Music Entertainment
Spinefarm Records UK,2785,Universal Music Group
Universal Music Italia srL.,2777,Universal Music Group
Varese Sarabande,2774,Warner Records
Som Livre,2763,Sony Music Entertainment
Vertigo Berlin,2731,Universal Music Group
Verve,2699,Universal Music Group
WM Brazil,2602,Warner Records
Hopeless Records,2594,Universal Music Group
Def Jam Recordings,2570,Universal Music Group
Concord Records,2566,Universal Music Group
Vagrant Records,2545,Sony Music Entertainment
Chrysalis Records,2525,Universal Music Group
Craft Recordings,2500,Universal Music Group
Fantasy Records,2482,Universal Music Group
Decca Music Group Ltd.,2481,Universal Music Group
Polyvinyl Records,2472,Warner Records
EMI Catalogue,2460,Universal Music Group
Fat Possum,2442,Universal Music Group
UNI/MOTOWN,2433,Universal Music Group
Thrill Jockey,2431,Sony Music Entertainment
Equal Vision Records,2411,Sony Music Entertainment
Союз Мьюзик,2399,Independent
Alfa Matrix,2375,Independent
earMUSIC,2299,Independent
VP Records,2245,Warner Records
Fearless Records,2208,Universal Music Group
Planet Mu,2190,Independent
Spin-Farm Oy,2168,Universal Music Group
CAPITOL CATALOG MKT (C92),2146,Universal Music Group
WaterTower Music,2123,Warner Records
Yep Roc Records,2117,Sony Music Entertainment
Anjunabeats,2088,Independent
Tooth & Nail (TNN),2083,Universal Music Group
Stones Throw Records,2053,Universal Music Group
Deckdisc,2036,Universal Music Group
Sony Music Latin,2022,Sony Music Entertainment
Naxos,2016,Independent
The End Records,2015,Sony Music Entertainment
Mystic Production,2008,Independent
Lakeshore Records,2006,Sony Music Entertainment
Trisol,1999,Universal Music Group
Record Union,1996,Independent
Parlophone Sweden,1995,Warner Records
Motown,1983,Universal Music Group
Drag City Records,1980,Independent
Mercury Records,1964,Universal Music Group
Peaceville Records,1952,Sony Music Entertainment
Metal Blade Records +,1943,Warner Records
Sumerian Records,1933,Warner Records
Universal Music Spain S.L.,1925,Universal Music Group
Osmose Productions,1905,Independent
Beggars Banquet,1902,Warner Records
Fire Records,1888,Independent
BMG Rights Management (US) LLC,1888,Sony Music Entertainment
Secretly Canadian,1882,Sony Music Entertainment
Parlophone Spain,1879,Warner Records
Virgin Catalogue,1874,Universal Music Group
Ipecac Recordings,1874,Independent
Ghostly International,1858,Universal Music Group
Universal Music LLC,1858,Universal Music Group
Universal Music AS,1846,Universal Music Group
ATO Records,1819,Universal Music Group
Castle Communications,1814,Sony Music Entertainment
Prophecy Productions,1804,Warner Records
Warner Classics,1792,Warner Records
Sony Music UK,1767,Sony Music Entertainment
Island Mercury,1758,Universal Music Group
New Rounder,1754,Universal Music Group
Parlophone Poland,1753,Warner Records
SM Entertainment,1746,Independent
Elektra Records,1730,Warner Records
Jagjaguwar,1730,Sony Music Entertainment
